PUBLIC SATURATION 2026-05-28T01:59:54Z
opponent=vladimir base=342
hero=/Users/farhad/Code/PokerBot/submissions/v_final.zip sha256=e4b4a8f11f801ecef2eca53629241e83cc9bace8ec74004f19368375f22d9598
opponent_zip=/Users/farhad/Code/PokerBot/consult/artifacts/2026-05-28-public-saturation/opponent_zips/vladimir.zip sha256=7264dbca80ebcbad755c19b9d84ab054658299090d582a5ca0fcd7fe30de7473
claimed_zip=/Users/farhad/Code/PokerBot/ext/public-bots/vladimir/bots/vlad.zip root_bot_py=False
target_scheduled_hands=100000 match_len=500 seed_stride=1000
seed schedule: seed = base + k * seed_stride; each seed runs two seat orientations

seed=61342 o=0 hands=   2/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual=+5000.00 hero_err=0 opp_err=0 dur=0.43s
seed=61342 o=1 hands=  30/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +333.33 hero_err=0 opp_err=0 dur=1.06s
seed=62342 o=0 hands=  15/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -666.67 hero_err=0 opp_err=0 dur=0.84s
seed=62342 o=1 hands=  15/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +666.67 hero_err=0 opp_err=0 dur=0.89s
seed=63342 o=0 hands=  21/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -476.19 hero_err=0 opp_err=0 dur=0.98s
seed=63342 o=1 hands=  12/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +833.33 hero_err=0 opp_err=0 dur=0.79s
seed=64342 o=0 hands=  27/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +370.37 hero_err=0 opp_err=0 dur=1.06s
seed=64342 o=1 hands=  12/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -833.33 hero_err=0 opp_err=0 dur=0.84s
seed=65342 o=0 hands=  39/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +256.41 hero_err=0 opp_err=0 dur=1.13s
seed=65342 o=1 hands=  24/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -416.67 hero_err=0 opp_err=0 dur=1.15s
seed=66342 o=0 hands=  19/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +526.32 hero_err=0 opp_err=0 dur=0.67s
seed=66342 o=1 hands=  73/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -136.99 hero_err=0 opp_err=0 dur=2.31s
seed=67342 o=0 hands=  14/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -714.29 hero_err=0 opp_err=0 dur=0.54s
seed=67342 o=1 hands=  22/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +454.55 hero_err=0 opp_err=0 dur=0.92s
seed=68342 o=0 hands=  96/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +104.17 hero_err=0 opp_err=0 dur=3.78s
seed=68342 o=1 hands=   4/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual=-2500.00 hero_err=0 opp_err=0 dur=0.54s
seed=69342 o=0 hands=   4/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual=+2500.00 hero_err=0 opp_err=0 dur=0.44s
seed=69342 o=1 hands=  85/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +117.65 hero_err=0 opp_err=0 dur=2.80s
seed=70342 o=0 hands=  27/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +370.37 hero_err=0 opp_err=0 dur=1.40s
seed=70342 o=1 hands=   4/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual=-2500.00 hero_err=0 opp_err=0 dur=0.59s
seed=71342 o=0 hands=   4/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual=+2500.00 hero_err=0 opp_err=0 dur=0.59s
seed=71342 o=1 hands=   5/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual=-2000.00 hero_err=0 opp_err=0 dur=0.64s
seed=72342 o=0 hands=  21/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -476.19 hero_err=0 opp_err=0 dur=1.16s
